County_FIPS,Proportional_allocation_to_Medicaid_demand,Medicaid_demand,Normalized_Medicaid_demand,Proportional_allocation_to_Medicaid_capita,Medicaid_capita,Normalized_Medicaid_capita,Proportional_allocation_to_Covid,Covid,Normalized_Covid,Proportional_allocation_to_SVI,SVI,Normalized_SVI,Proportional_allocation_to_YPLL,YPLL,Normalized_YPLL,Proportional_allocation_to_Unemployment,Unemployment,Normalized_Unemployment,Proportional_allocation_to_Covid_capita,Covid_capita,Normalized_Covid_capita,Proportional_allocation_to_Covid_death_capita,Covid_death_capita,Normalized_Covid_death_capita,Proportional_allocation_to_Covid_med,Covid_med,Normalized_Covid_med,Proportional_allocation_to_SVI_med,SVI_med,Normalized_SVI_med,Proportional_allocation_to_YPLL_med,YPLL_med,Normalized_YPLL_med,Proportional_allocation_to_Covid_capita_med,Covid_capita_med,Normalized_Covid_capita_med,Proportional_allocation_to_Covid_death_capita_med,Covid_death_capita_med,Normalized_Covid_death_capita_med,Proportional_allocation_to_Unemployment_med,Unemployment_med,Normalized_Unemployment_med
35039,202.7118699,170.2363636,0.069518815,308.932977,711.0907643,0.575295223,139.5403281,28,0.063636364,126.9792112,0.212121212,0.1875,464.5034212,9943,0.900734039,162.6801088,4,0.04650836,227.2903079,71.94059762,0.214824297,273.1212932,310.886154,0.073152035,110.0747097,29.94652682,0.034030144,121.5079433,0.226867627,0.153193485,452.3631078,16221.39187,0.767932471,218.7766786,76.94182271,0.208197883,249.403449,332.498591,0.064780897,119.2708525,1425.66858,0.02487784
1001,124.687376,566.5636364,0.058505743,140.1774959,304.7063016,0.250090646,113.8818987,109,0.067267684,77.44365377,0.208955224,0.196969697,139.8654308,8129,0.207828231,118.6853242,5,0.051875589,130.476125,195.09925,0.161515478,136.9981181,535.1805116,0.142936103,92.66241869,115.3771259,0.035696521,74.62049177,0.221180304,0.147238913,135.8102948,8604.593181,0.106971964,127.1653979,206.5136765,0.182020301,135.4460596,566.4916448,0.149372803,91.9921896,1755.002521,0.027577882
1009,120.2394871,130.7090909,0.055832566,130.6022543,283.8924296,0.211112819,158.8077853,152,0.097087379,27.65844777,0.074626866,0.060606061,195.0270215,7354,0.537189234,98.92829795,8,0.041470311,175.7906963,262.8575381,0.29407286,30.1023272,117.5941618,0.021203705,128.8909892,160.4865501,0.05127298,26.58287263,0.078793475,0.044496099,188.8943325,11967.86214,0.332198949,170.8974669,277.5335491,0.319578797,29.68613652,124.1597456,0.02160336,76.48500647,1459.160607,0.022030471
1013,61.97746961,72.30909091,0.02081716,200.1638314,435.0996597,0.494276339,43.88109857,42,0.020804438,271.0527882,0.731343284,0.727272727,247.074374,10254,0.847955619,73.08668033,9,0.027860509,144.4274671,215.9605101,0.202326928,633.1176803,2473.262032,0.707914604,34.43349991,42.8743207,0.010661022,251.8725821,0.746567773,0.526345514,231.3687774,14658.93441,0.512411148,135.750814,220.4561945,0.209025584,603.6579971,2524.748322,0.715023541,54.6319768,1042.25432,0.014212948
1015,342.7271504,164.1636364,0.189547401,189.4862819,411.8896816,0.45081136,421.0495887,403,0.271151179,265.5210986,0.71641791,0.712121212,207.8280894,11978,0.613622355,296.8564773,10,0.145711593,237.2373425,354.7379077,0.473820925,65.79603404,257.0309405,0.061851522,385.0088515,479.3876025,0.161390747,287.5145599,0.852213063,0.602576541,226.7853956,14368.54305,0.492964601,259.8420828,421.977556,0.59935261,73.10381202,305.7504873,0.074056615,258.5764681,4933.053071,0.08717037
1017,99.09203939,56,0.043122974,187.1636837,406.8410089,0.441356786,51.194615,49,0.025658807,143.8239284,0.388059701,0.378787879,191.2073481,11335,0.514382577,109.1647282,11,0.046861451,98.54342165,147.3506947,0.068103681,380.2746433,1485.535575,0.419978205,41.05022163,51.11302573,0.013505879,136.5669818,0.40479399,0.279730006,182.9654866,11592.22561,0.307043815,94.6472139,153.7048948,0.079734893,370.5027478,1549.596287,0.433346744,83.38320146,1590.762536,0.024498174
1031,132.7441807,84.61818182,0.063347873,159.2912383,346.2541814,0.32789674,170.300454,163,0.104715673,107.8679463,0.291044776,0.28030303,140.6568947,11680,0.212553935,92.19945569,12,0.037926484,208.2632981,311.4133965,0.389064006,38.63590498,150.9304192,0.030921701,139.2024525,173.3257033,0.055706389,104.4111384,0.309481844,0.210955119,137.203591,8692.868862,0.112883495,203.9073095,331.1407728,0.423410709,38.37293439,160.4915402,0.032097953,71.79008064,1369.592061,0.020350946
1033,123.1026491,467.9272727,0.057553323,139.9692312,304.2535929,0.249242865,146.2703286,140,0.088765603,22.12675822,0.059701493,0.045454545,183.1550635,14360,0.466303678,144.8132755,13,0.065636192,169.4891705,253.4349487,0.275639192,109.8249781,429.0291631,0.111991465,118.9088628,148.0574653,0.046981169,21.30095713,0.063137512,0.033199143,177.6848051,11257.65513,0.284638738,165.0398858,268.0209723,0.301153873,108.483067,453.7212173,0.116798588,112.1427931,2139.430373,0.034786393
1039,90.96864952,135.2909091,0.038240826,154.2204504,335.2317202,0.307255141,132.6880838,127,0.079750347,193.6091344,0.52238806,0.515151515,196.4550977,12079,0.545716047,71.0107609,13,0.026767201,229.2464826,342.7892791,0.450445498,210.0445437,820.5349672,0.226121011,105.8975077,131.8565849,0.041386942,182.9797371,0.542364611,0.378997563,187.1071962,11854.63375,0.324616419,219.1520155,355.8978242,0.471362679,203.6892278,851.9129021,0.231817943,53.98622817,1029.934899,0.013981943
1043,209.6633609,90.52727273,0.109576214,157.2067201,341.7230272,0.319411315,175.5243943,168,0.108183079,66.38027466,0.179104478,0.166666667,175.1888075,11113,0.418738443,149.8956989,14,0.068312912,134.1240273,200.5539108,0.172186579,47.36612565,185.0348582,0.040863634,149.7098363,186.4088039,0.060224034,67.04636496,0.198730068,0.131039378,178.3169309,11297.70501,0.287320745,137.027713,222.529849,0.213042049,49.08892886,205.3102773,0.045044035,121.788709,2323.452591,0.038237044
